id,name,tier,maxHp,cost,moveSpeed,attackSpeed,sightRange,attackRange,mental,critChance,role,Interval
ally101,농사꾼,1,120,100,3.5,보통,20,3,10,50,탱커,1.5
ally102,사냥꾼,1,80,100,3.5,매우 느림,20,12,1,50,딜러,3
ally201,낫창병,2,160,200,3.5,보통,20,5,1,60,딜러,1
ally202,철퇴병,2,240,200,3.5,약간 느림,20,3,1,60,탱커,1
ally203,궁수,2,160,200,3.5,매우느림,20,12,1,60,딜러,1
ally204,포수,2,160,200,3.5,느림,20,12,1,60,딜러,1.5
ally205,수행자,2,200,200,3.5,보통,20,2.5,3,70,딜러,1
ally301,장창병,3,240,300,3.5,약간 빠름,20,5,2,70,딜러,1
ally302,언월도병,3,240,300,3.5,빠름,20,3,2,70,딜러,1
ally303,대철퇴병,3,360,300,3.5,약간 빠름,20,3,2,70,탱커,1.5
ally304,장방패병,3,360,300,3.5,약간 느림,20,3,2,70,탱커,1
ally305,명궁,3,240,300,3.5,느림,20,12,2,70,딜러,1
ally306,명포수,3,240,300,3.5,약간 느림,20,12,2,70,딜러,1.5
ally307,도사,3,240,300,3.5,보통,20,9,2,70,딜러,1
ally401,낭선차사,4,400,600,3.5,약간 빠름,20,5,3,80,딜러,1
ally402,언월사자,4,400,600,3.5,빠름,20,3,3,80,딜러,1
ally403,첩중파관,4,600,600,3.5,약간 빠름,20,3,3,80,탱커,1.5
ally404,금강파관,4,600,600,3.5,약간 빠름,20,3,3,80,탱커,1
ally405,신궁,4,400,600,3.5,약간 느림,20,12,3,80,딜러,1
ally406,신통포수,4,400,600,3.5,보통,20,12,3,80,딜러,1.5
ally407,선인,4,400,600,4,약간 빠름,20,9,3,80,딜러,1
moor_2Archer,훈련된 궁수,2,160,20,3,보통,20,9,1,60,딜러,1.5
moor_2Assassin,훈련된 살수,2,160,20,3,보통,20,3,1,60,딜러,0.5
moor_3Assassin,신기루 학살자,3,240,30,3,매우 빠름,20,3,2,70,딜러,0.5
moor_3Warrior,신기루 돌격전사,3,360,40,3,보통,20,3,2,70,탱커,1
moor_4QueenPriest,황혼의 여제 까뜨린느,4,400,40,3,약간 빠름,20,9,3,70,버퍼,1.5
pioneer_1Worker,세뇌된 개척자,1,80,10,3,매우 빠름,20,3,1,50,딜러,0.5
pioneer_1Slave,세뇌된 노예,1,120,20,3,약간 빠름,20,3,1,50,탱커,1
pioneer_2Archer,광기의 파수꾼,2,160,20,3,약간 빠름,20,9,1,60,딜러,1
pioneer_2Scout,광기의 정찰병,2,160,20,6,보통,20,9,2,60,전령,1.5
pioneer_2Executor,광기의 집행자,2,160,20,3,보통,20,3,1,60,딜러,1.5
pioneer_2Bomber,광기의 폭약 기술자,2,160,20,6,보통,20,3,1,60,전령,1.5
pioneer_3Captain,타락한 선봉기사,3,360,30,3,보통,20,3,2,70,탱커,1.5
pioneer_3Executor,타락한 심문자,3,240,30,3,보통,20,3,2,70,딜러,1.5
pioneer_3Guard,타락한 가디언,3,360,30,3,매우 빠름,20,3,2,70,탱커,0.5
pioneer_3Priest,타락한 전도사,3,240,30,3,약간 빠름,20,9,3,70,딜러,1
pioneer_4Executor,거룩한 이단 심판관 제로엘,4,400,40,3,보통,20,3,3,80,딜러,1.5
pioneer_4Paladin,거룩한 팔라딘 에드워드,4,400,40,3,보통,20,3,3,80,딜러,1.5
pioneer_5King,영혼 수탈자 교주 헨리,5,1000,50,3,보통,20,3,3,90,딜러,1.5
summon_1warrior,칼을 든 망령,1,80,10,3,보통,20,3,1,10,딜러,1
summon_1archer,활을 든 망령,1,80,10,3,보통,20,9,1,10,딜러,1.5
summon_2warrior,검술사의 환영,2,160,20,3,보통,20,3,1,20,딜러,1
summon_2archer,궁술사의 환영,2,160,20,3,보통,20,9,1,20,딜러,1.5
summon_2champion,심연의 창술가,2,240,20,3,보통,20,5,1,20,탱커,1.5
empire_1Worker,노역자,1,80,10,3,보통,20,3,1,50,딜러,1.5
empire_1Merchant,상인,1,120,10,3,약간 느림,20,3,1,50,탱커,2
empire_1Trader,무역관,1,80,10,3,보통,20,3,1,50,딜러,1.5
empire_2Bomber,필사의 특공병,2,160,20,6,보통,20,3,2,60,자폭,1.5
empire_2Archer,필사의 궁병,2,160,20,3,보통,20,9,1,60,딜러,1.5
empire_3Priest,불굴의 수도자,3,240,30,3,보통,20,3,2,70,버퍼,1.5
empire_3Warrior,불굴의 검객,3,360,30,3,약간 느림,20,3,2,70,탱커,2
empire_3Guard,불굴의 수호병,3,240,30,3,보통,20,3,2,70,딜러,1.5
empire_4Warrior,태양의 투사,4,400,40,3,보통,20,3,3,80,딜러,1.5
empire_5Captain,태양의 대장군,5,1000,50,3,보통,20,3,3,90,버퍼,1.5
