id,name
ally,CON_joseonMilitiaList
moor,CON_moorMercenariesList
empire,CON_theSunEmpireList
pioneer,CON_theDivineChosenList
PADDED,CON_defensePadded
ANTIPIERCING,CON_defenseAntipiercing
STEELPLATED,CON_defenseSteelplated
NORMAL,CON_missionRunner
AGGRESSIVE,CON_missionFighter
1,UNQ_tier1
2,UNQ_tier2
3,UNQ_tier3
4,UNQ_tier4
5,UNQ_tier5
Interval_0.5,CON_AttackSpeedVeryFast
Interval_0.75,CON_AttackSpeedFast
Interval_1,CON_AttackSpeedSlightlyFast
Interval_1.5,CON_AttackSpeedNormal
Interval_2,CON_AttackSpeedSlightlySlow
Interval_2.5,CON_AttackSpeedSlow
Interval_3,CON_AttackSpeedVerySlow
ÅÊÄ¿,CON_roleTank
Àü·É,CON_roleScout
Èú·¯,CON_roleHealer
¹öÆÛ,CON_roleBuffer
µð¹öÆÛ,CON_roleDebuffer
µô·¯,CON_roleDPS
