Key,Korean (South Korea)(ko-KR),English(en)
CSkillA001_name,집중 사격 명령,
CSkillA001_desc,지정한 위치로 신호를 보내어 일제히 화살을 쏘아 5초 동안 화력을 집중시킨다.,
CSkillA001_effect,"영역 내 모든 적, 1초마다 찌르기 데미지 25",
CSkillA002_name,맹화유 투척 명령,
CSkillA002_desc,약속된 신호를 보내면 성문 앞에 맹화유 항아리를 던져 성문 앞을 5초 동안 불바다로 만든다.,
CSkillA002_effect,"영역 내 모든 적, 1초마다 불 데미지 25, '점화 상태' 부여",
CSkillA003_name,척살 명령,
CSkillA003_desc,지정 대상의 적에게 최 우선 순위 공격의 표식을 하여 척살 명령을 내린다.,
CSkillA003_effect,"지정 대상의 적, 척살 표식 부여, 범위 내 의병의 최우선 공격 대상으로 지정",
CSkillA004_name,바위세례,
CSkillA004_desc,지정한 위치로 신호를 보내어 커다란 돌 무더기를 투석하게 한다.,
CSkillA004_effect,"범위 내 모든 적, 때리기 데미지 75, '기절 상태' 부여",
CSkillA005_name,천둥구름 소환,
CSkillA005_desc,도술로 운기하여 광범위하게 번개를 내리치는 '천둥구름'을 5초 동안 소환한다.,
CSkillA005_effect,"0.5초마다 영역 내 무작위 적 1명, 번개 데미지 25, '감전 상태' 부여",
CSkillA006_name,맹독 살포 명령,
CSkillA006_desc,지정한 위치로 신호를 보내어 독이 담긴 항아리를 던져 5초 동안 맹독지대를 만든다.,
CSkillA006_effect,"영역 내 모든 적, 1초마다 독 데미지 25, '중독 상태' 부여",
CSkillA007_name,선풍 참격,
CSkillA007_desc,"지휘관이 부채를 휘둘러, 날카로운 바람의 검기를 날려 보낸다.",
CSkillA007_effect,"범위 내 모든 적, 베기 데미지 75",
CSkillA008_name,공포의 토템,
CSkillA008_desc,5초동안 유지되는 장승을 세워 부정한 적들로 하여금 두려움에 휩싸이게 한다.,
CSkillA008_effect,"영역 내 모든 적, 1초마다 '위축 상태' 부여",
CSkillA009_name,호국의 신광 주입,
CSkillA009_desc,지정 대상이 지닌 호국정신을 고양하여 불굴의 의지를 갖게하니 적의 공격이 무용해진다.,
CSkillA009_effect,"지정 대상의 아군, '불굴의 의지 상태' 부여",
CSkillA010_name,치우의 포효,
CSkillA010_desc,치우의 기상으로 적을 향해 포효하여 패배의 기운을 증폭시킨다.,
CSkillA010_effect,"범위 내 모든 적, '위축 상태' 부여",
CSkillA011_name,전설의 지휘관,
CSkillA011_desc,10초동안 유지되는 지휘관 상징 깃발을 세워 주변 병사들의 투지와 활력을 높인다.,
CSkillA011_effect,"영역 내 모든 아군, '투지 상승 상태' 부여, 1초마다 체력 5 회복",
CSkillA012_name,진격 저지 작전,
CSkillA012_desc,길목에 5초동안 유지되는 마름쇠를 흩뿌려 놓아 지나가는 적들의 이동력을 현저히 감소시킨다.,
CSkillA012_effect,"영역 내 모든 적, 이동 속도 50% 감소, 1초마다 고정 데미지 15",
CSkillA013_name,강철덫 매설,
CSkillA013_desc,지시한 위치에 강력한 찰코형 덫을 설치한다. 멧돼지도 잡을 정도라고 한다. 최대 3개 설치 가능,
CSkillA013_effect,"작동 시 적 단일 대상, 고정 데미지 35, '결박 상태' 부여",
CSkillA014_name,도화 삼매경,
CSkillA014_desc,특정 구역에 도화를 뿌려 의병들의 부정한 마음을 정화한다.,
CSkillA014_effect,"범위 내 모든 아군, 부정 상태 해제, '집중 상태' 부여",
CSkillA015_name,비격진천뢰,
CSkillA015_desc,"비격진천뢰를 사용, 겨냥한 지점에 강력한 유탄을 발사한다.",
CSkillA015_effect,"범위 내 모든 적, 고정 데미지 90",
CSkillA016_name,작열의 불화살,
CSkillA016_desc,지휘관이 목표물에 불화살을 쏘아 작열하게 만들고 주변에 옮겨붙게 한다.,
CSkillA016_effect,"지정 대상의 적, 찌르기 데미지 75, '작열 상태' 부여",
CSkillA017_name,진격의 소리,
CSkillA017_desc,"빠르고 장엄한 군악으로, 의병들의 사기가 오르고 일사분란하게 돌격하게 만든다.",
CSkillA017_effect,"전장의 모든 아군, '투지 상승 상태'와 '신속기동 상태' 부여",
