Key,Korean (South Korea)(ko-KR),English(en),CH,JP
CSkillA001_name,집중 사격 명령,Focused Fire Command,,
CSkillA001_desc,지정한 영역 속 적군에게 화살을 집중 포화한다.,Orders concentrated arrow fire on a designated area.,,
CSkillA001_effect,5초 동안 초당 10의 찌르기 데미지를 입힌다.,Deals 10 Pierce Damage per second for 5 seconds to all enemies within range,,
CSkillA002_name,맹화유 투척 명령,Fire Oil Command,,
CSkillA002_desc,성문 앞에 맹화유를 부어 성문 앞을 불바다로 만든다.,"Pours blazing oil before the castle gate, turning the area into a sea of flames.",,
CSkillA002_effect,50% 확률로 적에게 점화 상태 부여.,50% chance to inflict Ignited status of enemies,,
CSkillA003_name,척살 명령,Assassination Command,,
CSkillA003_desc,한 대상에게 죽음의 표식을 남겨 척살 명령을 내린다.,"Marks a single enemy with a death mark, issuing an assassination order.",,
CSkillA003_effect,척살 표식을 받은 적은 주변 의병으로부터 우선 공격 대상이 된다.,Enemies marked for assassination become priority targets for nearby allies,,
CSkillA004_name,투석 명령,,,
CSkillA004_desc,지정한 위치에 투석기로 돌 무더기를 투척한다.,,,
CSkillA004_effect,영역에 있는 모든 적에게 15의 때리기 데미지를 입힌다.,,,
CSkillA005_name,뇌우 소환,,,
CSkillA005_desc,지정한 영역 위 하늘에서 벼락이 순차적으로 낙하한다. ,,,
CSkillA005_effect,그 영역을 지나가는 모든 적에게 30의 전기 데미지를 입힌다.,,,
CSkillA006_name,맹독 해자 설치,,,
CSkillA006_desc,지정한 위치에 해자를 파고 독약을 뿌린다.,,,
CSkillA006_effect,일정 시간 동안 그 영역을 지나가는 적이 중독 상태에 걸린다.,,,
CSkillA007_name,덫 설치,,,
CSkillA007_desc,지정한 위치에 덫을 설치한다.,,,
CSkillA007_effect,덫 위로 지나간 적은 결박 상태가 된다.,,,
CSkillA008_name,방어 태세 명령,,,
CSkillA008_desc,의병들에게 방어 태세를 갖추라고 명령한다.,,,
CSkillA008_effect,지정한 위치 속 아군들이 방어 태세 상태를 갖춘다.,,,
CSkillA009_name,진격 명령,,,
CSkillA009_desc,승부를 재촉하는 외침으로 병사들이 일제히 진격한다.,,,
CSkillA009_effect,의병들을 신속기동 상태로 만든다.,,,
CSkillA010_name,금강산도 식후경,,,
CSkillA010_desc,초기 군자금을 200냥 소모하여 모든 아군 병사들을 잘 먹이고 전투 투입한다.,,,
CSkillA010_effect,모든 아군 병사들의 최대 체력 20 증가.,,,
CSkillA011_name,비장한 출사,,,
CSkillA011_desc,출정 시 비장한 각오를 연설하여 의병들의 투지를 상승시킨다.,,,
CSkillA011_effect,모든 아군 병사들의 스킬 공격 데미지가 5% 증가.,,,
CSkillA012_name,상급 전술,,,
CSkillA012_desc,상급 전술 훈련을 통해 병사들의 전투 기술을 숙련시킨다.,,,
CSkillA012_effect,모든 아군 병사들의 공격 속도 10% 증가.,,,
CSkillA013_name,의무소 설치,,,
CSkillA013_desc,정비하는 시간에 병사들을 치료해 회복시킨다.,,,
CSkillA013_effect,방어 완료 시 모든 아군 병사들의 체력 10% 회복.,,,
CSkillA014_name,전리품 노획,,,
CSkillA014_desc,죽은 병사로 부터 알뜰하게 군자금을 긁어 모은다.,,,
CSkillA014_effect,적 처치시 얻는 냥이 10만큼 증가.,,,
