Key,Korean (South Korea)(ko-KR),English(en),CH,JP
CSkillA001_name,집중 사격 명령,,,
CSkillA001_desc,지정한 영역 속 적군에게 화살을 집중 포화한다.,,,
CSkillA001_effect,5초 동안 초당 10의 찌르기 데미지를 입힌다.,,,
CSkillA002_name,맹화유 투척 명령,,,
CSkillA002_desc,성문 앞에 맹화유를 부어 성문 앞을 불바다로 만든다.,,,
CSkillA002_effect,50% 확률로 적에게 점화 상태를 입힌다.,,,
CSkillA003_name,척살 명령,,,
CSkillA003_desc,한 대상에게 죽음의 표식을 남겨 척살 명령을 내린다.,,,
CSkillA003_effect,척살 표식을 받은 적은 주변 의병으로부터 우선 공격 대상이 된다.,,,
CSkillA004_name,투석 명령,,,
CSkillA004_desc,지정한 위치에 투석기로 돌 무더기를 투척한다.,,,
CSkillA004_effect,영역에 있는 모든 적에게 15의 때리기 데미지를 입힌다.,,,
CSkillA005_name,뇌우 소환,,,
CSkillA005_desc,지정한 영역 위 하늘에서 벼락이 순차적으로 낙하한다. ,,,
CSkillA005_effect,그 영역을 지나가는 모든 적에게 30의 전기 데미지를 입힌다.,,,
CSkillA006_name,맹독 해자 설치,,,
CSkillA006_desc,지정한 위치에 해자를 파고 독약을 뿌린다.,,,
CSkillA006_effect,일정 시간 동안 그 영역을 지나가는 적이 중독 상태에 걸린다.,,,
CSkillA007_name,덫 설치,,,
CSkillA007_desc,지정한 위치에 덫을 설치한다.,,,
CSkillA007_effect,덫 위로 지나간 적은 결박 상태가 된다.,,,
CSkillA008_name,방어 태세 명령,,,
CSkillA008_desc,의병들에게 방어 태세를 갖추라고 명령한다.,,,
CSkillA008_effect,지정한 위치 속 아군들이 방어 태세 상태를 갖춘다.,,,
