Key,Korean (South Korea)(ko-KR),English(en),CH,JP
TXT_resultWin01,당신의 노력이 성과를 이루어 무사히 마을을 지켜낼 수 있었습니다!,"Thanks to your efforts, the village has been safely defended!",,
TXT_resultLose01,안타깝게도 마을이 함락되었습니다.,"Despite your valor, the village could not be saved.",,
TXT_waveNumber,침공 {num}차/{num}차,Wave {num}/{num},,
TXT_giveUp,정말 포기하시겠습니까?,Are you sure you want to give up?,,
BTN_restart,재시작,Restart,,
BTN_giveUp,전투 포기,Give up,,
MSG_noGold,군자금이 부족합니다!,Insufficient funds!,,
MSG_noPlace,그곳에는 병사를 배치할 수 없습니다!,Cannot deploy units here!,,
MSG_noMove,그곳에는 병사를 이동시킬 수 없습니다!,Cannot move units here!,,
NTF_battleStart,전투 시작!,Battle Start!,,
NTF_battleReadyTime,{num}차 침공까지 {sec}초,{sec} seconds until Wave {num},,
NTF_battleWaveStart,{num}차 침공 시작!,Wave {num} start!,,
NTF_battleWaveWin,방어에 성공했습니다!,Defense successful!,,
NTF_battleAttacked,성문이 파괴되고 있습니다!,The stronghold is under attack!,,
TTL_unitUpgrade,병사 승급,Unit Upgrade,,
CON_upgrade,승급,Upgrade,,
CON_modeChange,모드 전환,Mode Change,,
CON_conditions,현재 상태,Conditions,,
CON_clearTime,클리어 시간,Clear Time,,
CON_fundsArrived,군자금 보충!,Funds Arrived!,,
CON_damageType,공격 속성,Damage Type,,
