Key,Korean (South Korea)(ko-KR),English(en),CH,JP
UNQ_joseonMilitia,조선 의병,Joseon Militia,,
UNQ_theDivineChosen,신성의 증거단,The Divine Chosen,,
UNQ_moorMercenaries,무어 용병단,Moor Mercenaries,,
UNQ_theSunEmpire,태양의 제국,The Sun Empire,,
UNQ_lieutenant,부관,Lieutenant,,
TXT_skillSelectMethod,더블 클릭하여 스킬을 선택하고 해제 하십시오.,Double-click to select or deselect a skill.,,
TXT_skillSaveWarning,선택한 지휘관 스킬이 저장되지 않았습니다. 그래도 나가시겠습니까?,Unsaved commander skills. Exit anyway?,,
TXT_battleStageReady,해당 전장은 아직 준비 중입니다.,,,
TXT_unlockSkillAchievement,{achievementName}' 업적 달성 후 해금,"Unlocked by ""{achievementName}"" achievement",,
TXT_unlockSkillRank,지휘관 계급 '{rankName}' 달성 후 해금,"Unlocked at ""{rankName}"" rank",,
BTN_exitGame,게임 종료,Exit,,
BTN_save,저장,Save,,
MSG_noPoints,공로 포인트가 부족합니다!,Not enough Commander Points!,,
MSG_noAchievement,해당 업적을 달성해야 스킬을 해금할 수 있습니다.,You must complete the required achievement to unlock this skill.,,
MSG_noRank,해당 계급이 되어야 스킬을 해금할 수 있습니다.,You must reach this rank to unlock the skill.,,
MSG_noSlots,모든 슬롯이 채워져 있습니다!,All slots are full!,,
NTF_acquireSkill,{skillName} 스킬을 배웠습니다!,{skillName} Skill acquired!,,
CON_credits,크레딧,Credits,,
CON_rank,랭킹,Rank,,
CON_achievements,업적,Achievements,,
CON_skills,지휘관 스킬,Skills,,
CON_characterCodex,인물 도감,Character Codex,,
CON_recruitmentCost,모집 비용,Recruitment Cost,,
CON_mission,임무,Mission,,
CON_list,목록,List,,
CON_hp,체력,Hp,,
CON_abilities,보유 스킬,Abilities,,
CON_stat,스탯,Stat,,
CON_story,스토리,Story,,
CON_unitDetails,인물 세부 정보,Unit Details,,
CON_selectedSkills,선택 스킬,Selected Skills,,
CON_profile,프로필,Profile,,
CON_yourTitle,칭호,Your Title,,
CON_yourRank,계급,Your Rank,,
CON_profile,프로필,Profile,,
CON_commanderRank01,무명의 의인,Unknown Hero,,
CON_commanderRank02,충직한 두령,Loyal Captain,,
CON_commanderRank03,강철의 통솔자,Iron Commander,,
CON_commanderRank04,필승의 사령관,Victory-bound General,,
CON_commanderRank05,불세출의 명장,Peerless Warlord,,
CON_commanderRank06,불멸의 영웅,Immortal Hero,,
CON_commanderRank07,전설의 구세주,Legendary Savior,,
