Key,Korean (South Korea)(ko-KR),English(en),CH,JP
TIP_loadingTip01,교전이 우선인 침략자는 의병을 최우선적으로 공격합니다.,Fighter invaders prioritizes attacking your units instead of the castle.,,
TIP_loadingTip02,강력한 의병 한명이냐 여러명의 기초 의병이냐 선택은 지휘관의 방어전략에 따라 달라집니다.,A large number of weak units may be more powerful than a single strong unit.,,
TIP_loadingTip03,지휘관 스킬을 적절하게 운용한다면 위태로운 상황을 모면할 수 있습니다.,Commander Skills are useful to handle emergency situations.,,
TIP_loadingTip04,처음 배치된 의병 유닛은 위치 사수 모드로 침략자의 이동을 막을 수 있습니다. 적절히 배치하여 적들의 동선을 전략적으로 제어해보세요.,You can control the invader's path by using units in Siege Mode. Use it to build paths across the battlefield!,,
TIP_loadingTip05,자유 전투 모드인 의병 유닛은 침략자를 추격하여 공격할 수 있습니다.,Free Mode units can chase and attack invaders.,,
TIP_loadingTip06,"단축키 1, 2, 3, 4번을 활용해 원하는 의병을 빠르게 모집할 수 있습니다.","You can quickly recruit units by using the 1, 2, 3, 4 key.",,
TIP_loadingTip07,지휘관 스킬 창에서 지휘관 스킬을 최대 3개까지 선택하여 장착할 수 있습니다.,You can equip up to 3 Commander Skills.,,
TIP_loadingTip08,마지막 웨이브는 보스와 침략자들이 전력을 다해 몰려옵니다. 효율적인 배치와 참신한 전략으로 전투를 승리로 이끌어보세요!,Invaders will use all their might at the final wave. Lead your battles to victory with efficient strategies.,,
TIP_loadingTip09,"침략자들은 기본적으로 성을 공격하려 하지만, 길이 막혀 성으로 접근할 수 없다면 가장 가까운 의병을 공겨하니 주의하세요!","Invaders generally will try to attack the castle.
Beware. If the path is blocked they will attack the nearest unit.",,
TIP_loadingTip10,의병들은 모드를 전환하거나 승급할 때 일정 시간이 소요됩니다. 이 때는 어떠한 조작이나 공격도 되지 않으니 신중하게 사용하세요!,Units will take time to switch modes or to upgrade and cannot attack nor be controlled.,,
TIP_loadingTip11,유닛의 등급이 높을수록 능력치가 강력하고 강력한 스킬을 보유하고 있습니다.,"The higher the unit's tier, the stronger their stats and skills.",,
TIP_loadingTip12,방어 속성이 완충갑인 유닛은 때리기 공격 속성에 피해를 덜 받고 치명타가 터질 확률을 감소시킵니다.,Units wearing Padded armor will take less damage and reduce the chance of critical hits from Crush attacks.,,
TIP_loadingTip13,방어 속성이 방탄갑인 유닛은 찌르기 공격 속성에 피해를 덜 받고 치명타가 터질 확률을 감소시킵니다.,Units wearing Antipierce armor will take less damage and reduce the chance of critical hits from Pierce attacks.,,
TIP_loadingTip14,방어 속성이 철갑인 유닛은 베기 공격 속성에 피해를 덜 받고 치명타가 터질 확률을 감소시킵니다.,Units wearing Steel armor will take less damage and reduce the chance of critical hits from Slash attacks.,,
TIP_loadingTip15,상태 중 중첩이 되는 상태가 존재합니다. 상태가 4번 중첩되면 강화된 상태 효과가 발동됩니다.,"Some Conditions can be stacked.
Enhanced Condition activates when stacked to 4.",,
TIP_loadingTip16,"지휘관 승급을 하면 더 많은 지휘관 스킬을 해금할 수 있습니다.
공훈도를 쌓아 원하는 지휘관 스킬을 선택해 전투해보세요!","Promotion can unlock more Commander Skills.
Earn Merit Points, unlock more Skills!",,
TIP_loadingTip17,조심하세요! 자폭 유닛은 체력이 10% 이하가 되면 폭발하여 주변에게 피해를 줍니다.,"Be careful! Bomber Invaders explode when their health depletes below 10%, dealing damage to those nearby.",,
TIP_loadingTip18,전투에서 승리하면 전투 시간이 기록됩니다. 참신한 전략을 활용해 신기록을 달성해보세요!,"Clear time is recorded when you win a battle.
Use innovative strategies to set new records!",,
TIP_loadingTip19,인물 도감 창에서 전투 중 만난 침략자들의 정보를 확인하실 수 있습니다.,You can view information about units and invaders through the Codex.,,
TIP_loadingTip20,주의하세요! 전투 도중 전장을 이탈하면 진행 중인 전투 기록은 저장되지 않습니다.,Clear time will not be recorded if you leave mid-battle.,,
