Key,Korean (South Korea)(ko-KR),English(en),CH,JP,Korean (South Korea)(ko-KR)
TXT_spaceSkip,스페이스 바를 눌러 진행,Press Space to continue,,,
BTN_cancel,취소,Cancel,,,
BTN_confirm,확인,Confirm,,,
UNQ_trainingGround,훈련장,Training Ground,,,
UNQ_gumsanCastle,금산성,Gumsan Castle,,,
UNQ_namhanFortress,남한산성,Namhan Fortress,,,
CON_combatManual,전투 지침서,Combat Manual,,,
CON_controls,조작법,Controls,,,
CON_attributes,속성 정보,Attributes,,,
CON_settings,설정,Settings,,,
CON_graphicSettings,그래픽,Graphic Settings,,,
CON_resolution,해상도,Resolution,,,
CON_resolution1,1280*720,1280*720,,,
CON_resolution2,1920*1080,1920*1080,,,
CON_resolution3,2560*1440,2560*1440,,,
TXT_resolutionChange,이 해상도로 유지하시겠습니까? 10초 후 자동으로 이전 해상도로 되돌아갑니다.,Confirm Resolution. The resolution will revert in 10 seconds.,,,
CON_graphicsQuality,품질,Graphics Quality,,,
CON_windowMode,창 모드,Windowed,,,
CON_graphicsLow,낮음,Low,,,
CON_graphicsMedium,보통,Medium,,,
CON_graphicsHigh,높음,High,,,
CON_soundSettings,사운드,Sound Settings,,,
CON_masterVolume,마스터,Master,,,
CON_mute,음소거,Mute,,,
CON_backgroundMusic,배경음,Background Music,,,
CON_combatSounds,전투음,Combat,,,
CON_uiSounds,조작음,UI sound,,,
BTN_default,초기값,Default,,,
TXT_defaultSettings,초기값으로 되돌리시겠습니까? 설정을 초기값으로 되돌리면 초기 상태로 복원됩니다.,Reset to default settings? All settings will be reset to their default state.,,,
CON_basicSkill,기본,Basic Skill,,,
CON_specialSkill,특수,Special Skill,,,
CON_stat,Stat,Stat,,,
CON_mental,멘탈,Mental,,,
CON_attackSpeed,공격 속도,Attack Speed,,,
CON_attackRange,공격 사거리,Attack Range,,,
CON_moveSpeed,이동 속도,Move Speed,,,
CON_critChance,치명타율,Crit Chance,,,
CON_commanderPoints,공로 포인트,Commander Points,,,
CON_AttackSpeedVeryFast,매우 빠름,Very Fast,,,
CON_AttackSpeedSlightlyFast,약간 빠름,Slightly Fast,,,
CON_AttackSpeedFast,빠름,Fast,,,
CON_AttackSpeedNormal,보통,Normal,,,
CON_AttackSpeedSlow,느림,Slow,,,
CON_AttackSpeedSlightlySlow,약간 느림,Slightly Slow,,,
CON_AttackSpeedVerySlow,매우 느림,Very Slow,,,
CON_skillActive,액티브,Active,,,
CON_ability,특수 능력,Ability,,,
CON_skillPassive,패시브,Passive,,,
CON_skillCooltime,쿨타임 {num}초,Cooltime {num}s,,,
TTL_attributesInfo,공격 속성과 방어 속성,Attack and Defense Attributes,,,
TXT_attributesInfo,"공격 속성에 대응되는 방어 속성이 있습니다.
대응하는 방어 속성일 경우, 아래와 같은 감소 효과가 있습니다.","Attack and defense attributes counter each other.
When an attack meets its corresponding defense, the effectiveness of the attack is reduced.",,,
TXT_damageReduced,받는 데미지 50% 감소,Damage taken reduced by 50%,,,
TXT_critChanceReduced,공격자의 치명타율 50% 감소,Incoming critical rate reduced by 50%,,,
CON_attackSlash,베기,Slash,,,
CON_attackPierce,찌르기,Pierce,,,
CON_attackCrush,때리기,Crush,,,
CON_defensePadded,완충갑,Padded,,,
CON_defenseSteelplated,철갑,Steelplated,,,
CON_defenseAntipiercing,방탄갑,Anti Piercing,,,
