Key,Korean (South Korea)(ko-KR),English(en),CH,JP
CSkillA001_name,집중 사격 명령,,,
CSkillA001_desc,지정한 영역 속 적군에게 화살을 집중 포화한다.,,,
CSkillA001_effect,영역 내의 적들에게 5초 동안 초당 10의 찌르기 데미지,,,
CSkillA002_name,맹화유 투척 명령,,,
CSkillA002_desc,성문 앞에 맹화유를 부어 성문 앞을 불바다로 만든다.,,,
CSkillA002_effect,영역 내의 적들에게 50% 확률로 점화 상태 유발,,,
CSkillA003_name,척살 명령,,,
CSkillA003_desc,한 대상에게 죽음의 표식을 남겨 척살 명령을 내린다.,,,
CSkillA003_effect,척살 표식을 받은 적은 주변 의병으로부터 우선 공격 대상이 된다.,,,
CSkillA004_name,투석 명령,,,
CSkillA004_desc,지정한 위치에 투석 일제 사격을 명령해 적 진형을 짓이긴다.,,,
CSkillA004_effect,영역 내 적들에게 20의 때리기 데미지,,,
CSkillA005_name,뇌우 소환,,,
CSkillA005_desc,지정한 영역 위 하늘에서 벼락이 순차적으로 낙하한다. ,,,
CSkillA005_effect,6초 동안 1초마다 영역 내 무작위 적 1명에게 10의 번개 데미지,,,
CSkillA006_name,맹독 살포,,,
CSkillA006_desc,지정한 위치에 맹독을 살포한다.,,,
CSkillA006_effect,영역 내의 적들은 5초 동안 50% 확률로 중독 상태 유발,,,
CSkillA007_name,덫 설치,,,
CSkillA007_desc,지정한 위치에 덫을 설치한다.,,,
CSkillA007_effect,덫 작동 시 주변 적에게 결박 상태 유발,,,
CSkillA008_name,위치사수 명령,,,
CSkillA008_desc,자리를 지키는 병사들의 불굴의 의지를 이끌어 낸다.,,,
CSkillA008_effect,위치 사수한 모든 의병들에게 불괴 상태 부여,,,
CSkillA009_name,진격 명령,,,
CSkillA009_desc,승부를 재촉하는 외침으로 병사들이 일제히 진격한다.,,,
CSkillA009_effect,영역 내의 의병들에게 신속기동 상태 부여,,,
,,,,
CSkillP001_name,전리품 노획,,,
CSkillP001_desc,죽은 병사로 부터 알뜰하게 군자금을 긁어 모은다.,,,
CSkillP001_effect,적 처치시 얻는 군자금이 20% 증가,,,
CSkillP002_name,금강산도 식후경,,,
CSkillP002_desc,초기 군자금을 200냥 소모하여 모든 아군 병사들을 잘 먹이고 전투 투입한다.,,,
CSkillP002_effect,모든 아군 병사들의 최대 체력 20 증가,,,
CSkillP003_name,비장한 출사,,,
CSkillP003_desc,출정 시 비장한 각오를 연설하여 의병들의 투지를 상승시킨다.,,,
CSkillP003_effect,모든 아군 병사들의 스킬 공격 데미지가 5% 증가,,,
CSkillP004_name,상급 전술,,,
CSkillP004_desc,상급 전술 훈련을 통해 병사들의 전투 기술을 숙련시킨다.,,,
CSkillP004_effect,모든 아군 병사들의 공격 속도 10% 증가,,,
CSkillP005_name,의무소 설치,,,
CSkillP005_desc,정비하는 시간에 병사들을 치료해 회복시킨다.,,,
CSkillP005_effect,방어 완료 시 모든 아군 병사들의 체력 10% 회복,,,
