Key,Korean (South Korea)(ko-KR),English(en)
USkillAbility001_name,축지법,Teleportation
USkillAbility001_desc,"도술로 땅의 거리를 접어 이동하여, 언제나 빠른 걸음으로 전장을 누빈다.",Moves with such supernatural speed that they are said to cross the land in the blink of an eye.
USkillAbility001_effect,항상 이동 속도 12,Movement Speed: 12.
USkillAbility002_name,금강불괴,Diamond Body
USkillAbility002_desc,"흔들리지 않는 수행의 힘으로 몸과 마음을 단련하여, 어떠한 공격에도 쉽게 무너지지 않는다.","Through relentless ascetic training, the practitioner has hardened both body and mind against even the mightiest blows."
USkillAbility002_effect,항상 받는 데미지 30% 감소,Damage Taken -30% at all times.
USkillAbility003_name,원한,Grudge
USkillAbility003_desc,자신을 공격한 자의 몸과 마음을 위축시킨다.,"A being consumed by deep resentment sends a malignant curse toward those who harm it, weakening their resolve."
USkillAbility003_effect,자신을 공격한 대상에게 10% 확률로 '위축' 상태 부여,When attacked: 10% chance to inflict 'Fearful' on the attacker.
USkillAbility004_name,학살의 광기,Slaughter Frenzy
USkillAbility004_desc,살인귀가 된 자는 적을 해하면서 느끼는 희열로 자신의 활력을 되찾는다.,"A bloodthirsty killer revels in harming enemies, restoring their own vitality through the thrill of slaughter."
USkillAbility004_effect,준 데미지의 30% 회복,Restores HP equal to 30% of Damage Dealt.
USkillAbility005_name,영생,Immortality
USkillAbility005_desc,주변에서 쓰러진 적군의 영혼을 흡수하여 자신의 생명으로 되돌린다.,One who yearns for eternal life absorbs the fear of dying enemies to restore their own life force.
USkillAbility005_effect,"주변 원형 범위 내 적군이 사망 시, 사망한 적군의 최대 체력 10%만큼 회복",When a nearby enemy dies: Restores HP equal to 10% of the fallen enemy's Max HP.
USkillAbility006_name,지극정성,Devotion
USkillAbility006_desc,지극한 정성과 간절한 마음으로 주변 의병을 보살핀다. 한결같은 마음이 닿은 곳에서는 부정한 기운마저 힘을 잃고 깨끗이 씻겨 나간다.,"Tends to nearby allies with unwavering devotion and heartfelt care. Where her sincere will reaches, even sinister forces lose their hold and are cleansed away."
USkillAbility006_effect,자신 주변 원형 범위 내 아군에게 저주 상태가 있으면 정화,All allies around self: Cleanses Curse effects.
