Key,Korean (South Korea)(ko-KR),English(en),CH,JP
ally101_name,농사꾼,Peasant,,
ally101_script,"""우리 후손들이 살아갈 땅은 내 손으로 지킬겁니다!""","""I’ll defend the land our children will inherit!""",,
ally101_desc,갑작스러운 외세의 침략으로 터전을 지키기 위해 농기구를 들고 참전한 용기있는 자들. 훈련을 받지는 않았지만 오랜 농사일로 단련된 체력과 끈기가 특징이다.,"Brave peasants who took up their tools to defend their homes from sudden invasion. Though untrained, years of farm work have given them remarkable stamina and perseverance.",,
ally102_name,사냥꾼,Hunter,,
ally102_script,“산짐승도 제 영역은 목숨 걸고 지키는 법이거든.”,"""Even beasts defend their land with their lives.""",,
ally102_desc,사냥으로 다져진 활 솜씨로 움직이는 목표라도 맞출수 있게 화살을 날린다. 사냥터를 강탈하는 침략자들에 맞서 싸우기 위해 의병단에 들어왔다.,Skilled hunters who can strike moving targets with well-aimed arrows. They joined the Righteous Army to fight invaders who seized their hunting grounds.,,
ally201_name,낫창병,Scythe Spearman,,
ally201_script,“지금까지 베어 낸 쇠꼴만 해도 산 하나 만들고 남지요!”,"""I’ve cut enough grass to make a mountain!""",,
ally201_desc,"창 끝에 낫을 달아 개량한 낫창은 공방이 수월하지만, 단련된 몸이 아니고서는 몸살이 날 정도로 사용 난이도가 높다. 민첩하게 찌르고 베는 실력이 일취월장하는 중이다. ","Wields a sickle-spear made by attaching a blade to a spear shaft. Effective in both thrusting and slashing, but difficult to handle without a well-trained body.",,
ally202_name,돌격병,Trooper,,
ally202_script,“내가 선봉에 설테니 엄호해주시오!”,"""I’ll take the front. Cover me!""",,
ally202_desc,낫 대신 방패를 들어 동료를 지키는 자들. 방패와 철퇴를 들고 거침없이 돌격해 적 진영을 무너뜨리는 대담함을 지녔다.,"Bold fighters who carry shields instead of sickles. Armed with shields and maces, they charge headlong into enemy lines and break their formation.",,
ally203_name,궁수,Archer,,
ally203_script,“화살 하나에 적군 하나. 일시천금 천시여상입니다.”,"""One arrow, one foe. Every shot must count.""",,
ally203_desc,사냥을 하던 각개전투 궁술에 체계적인 훈련을 더해 수성 병법을 습득하였다. 어떤 상황에서도 신중함을 유지하며 지휘통솔에 맞추어 목표물을 명중시킨다.,"Hunters trained in disciplined archery and defensive tactics. Calm under pressure, they follow commands carefully and strike their targets with precision.",,
ally204_name,포수,Musketeer,,
ally204_script,“처음엔 방포소리에 놀랐는데 이젠 호랭이도 잡겠네요”,"""Gunfire scared me once. Now I can hunt tigers!""",,
ally204_desc,재주꾼인 사냥꾼에게 신식 무기인 화승총은 또 다른 가능성을 열어줬다. 아직은 열심히 장전하느라 여념이 없다.,"For skilled hunters, the matchlock opened a new path in battle. They are still learning the weapon and spend much of their time mastering its slow reload.",,
ally205_name,수행자,Ascetic,,
ally205_script,"""실천하지 않는 수행은 의미가 없습니다.""","""Training means nothing without action.""",,
ally205_desc,깊은 산속에 은신해 수련하던 이들이 의병에 지원했다. 맨손으로 금강산 호랑이를 때려잡았다는 소문이 있다. 근접전에서 강력한 힘을 발휘한다.,Ascetics who once trained in seclusion deep in the mountains. Rumor says they can defeat a tiger barehanded. Their hardened bodies make them formidable in close combat.,,
ally206_name,버들낭자,Willow Maiden,,
ally206_script,"""뭐라도 도울 게 있을까 해서요. 흥을 돋우는 재주는 있사옵니다.""","""I wish to help. I can at least lift spirits.""",,
ally206_desc,기예가 뛰어나고 풍류를 잘 아는 예술가 중에서 의병에 자원한 이. 아름다운 예인이라고 만만하게 보았다가는 큰 화를 당할 수도 있다.,A talented performer and artist who volunteered for the army. Those who mistake her grace and beauty for weakness may quickly come to regret it.,,
ally301_name,장창병,Pikeman,,
ally301_script,“한 발자국이라도 다가온다면 살아남지 못할 것이다!”,"""Take one more step, and you will not survive!""",,
ally301_desc,장창의 긴 사거리를 이용해 다가오는 적에게 치명적인 피해를 준다. 창이 피해를 줄 때 적이 구축한 진형이 무너지기도 한다.,Uses the long reach of a spear to deal deadly blows to approaching enemies. Powerful thrusts can even disrupt enemy formations.,,
ally302_name,대겸병,Scytheman,,
ally302_script,“자비로움은 저 녀석들에겐 사치일 뿐이다.”,"""Mercy would only be wasted on them.""",,
ally302_desc,날카로움과 묵직한 위력을 동시에 가진 전투낫을 다루는 자. 전장에서는 전투낫을 휘둘러 넓은 궤도로 적을 가차없이 베어내 적의 접근을 허락하지 않는다.,"A warrior who wields a heavy war scythe with both sharpness and force. Wide, ruthless sweeps cut down enemies and deny them any chance to approach.",,
ally303_name,파쇄병,Crusher,,
ally303_script,“완력이라면 나와 견줄 자가 없지. 한번 겨뤄보시게?”,"""No one can match my strength. Care to test it?""",,
ally303_desc,바위를 옮기고 통나무를 나르며 힘을 길러온 장사. 전장에서는 돌격대의 망치가 되어 적 진형을 무너뜨린다. 승부욕이 강해 쉽게 물러서지 않는다.,"A strongman hardened by hauling rocks and timber. On the battlefield, he becomes the hammer of the assault force, smashing enemy formations and refusing to back down.",,
ally304_name,방진병,Shield Guard,,
ally304_script,“쓰러질지언정 물러서진 않겠습니다.”,"""I may fall, but I will never retreat.""",,
ally304_desc,"긴 장방패로 동료들을 감싸는 철벽 같은 존재다. 아무리 많은 적이 몰려와도 물러서지 않고, 묵묵히 방어 진영을 구축해 동료를 보호해낸다.","A living wall armed with a long shield. No matter how many enemies advance, they stand firm, form a defensive line, and protect their comrades.",,
ally305_name,명궁,Master Archer,,
ally305_script,“바람은 계산하는 게 아니라 극복하는 것입니다.”,"""The wind is not calculated. It is overcome.""",,
ally305_desc,궁수 중 백발백중인 자들은 명궁이라는 호칭으로 불린다. 전장에서는 저격을 통해 전세를 역전시키며 염직과감을 실천하여 주변의 귀감이 된다.,"Archers of flawless accuracy earn the title of Master Archer. Their precise shots can turn the tide of battle, and their discipline sets an example for those around them.",,
ally306_name,명포수,Master Gunner,,
ally306_script,“발자국 소리로 거리를 가늠하고 적당한 때 격발”,"""Hear the steps, judge the range, then fire.""",,
ally306_desc,이제는 빠르게 장전하고 가장 적당한 때에 쏘아 치명상을 입히는 경지에 이르렀다.  유탄을 활용해 전세를 역전시키기도 한다. ,Now skilled enough to reload swiftly and fire at the perfect moment for a fatal hit. They can also use grenades to turn the tide of battle.,,
ally307_name,도사,Daoist,,
ally307_script,"""무극과 태극, 하늘과 땅과 사람이 만나 역동한다.""","""Wuji, Taiji; heaven, earth, and man are one.""",,
ally307_desc,수행을 통해 자연의 이치를 깨닫고 신묘한 도술을 연마했다. 부채를 휘저어 바람을 일으키면 나비효과로 솟을바람이 되고 태풍이되는 원리를 사람들은 이해하지 못했다.,"Through cultivation, this Daoist grasped the laws of nature and mastered mysterious arts. A simple sweep of the fan can stir winds that grow into violent gales.",,
ally308_name,승병,Warrior Monk,,
ally308_script,"""지장 보살의 마음으로 선량한 중생들을 구하자!""","""With Ksitigarbha’s heart, we save the innocent!""",,
ally308_desc,부처의 깨달음을 얻고자 정진하여 왔으나 이 땅의 평화와 백성들을 지키고자 스스로 파계하여 사천왕처럼 살생의 사명을 다한다.,"A monk devoted to Buddhist awakening who broke his vows to defend the land and its people. In battle, he takes on the fierce duty of the Four Heavenly Kings.",,
ally309_name,무당,Shaman,,
ally309_script,"""너희가 저지른 죄악, 이 땅의 신령들이 용서치 않을 것이다!""","""The spirits of this land will judge your sins!""",,
ally309_desc,보이지 않는 것을 보고 들리지 않는 것을 듣는 신과 인간 사이의 영매. 침략자들의 탐욕스런 기운이 느껴지면 망설임 없이 주문 공격을 날린다.,"A medium between gods and humans who sees the unseen and hears the unheard. When the greed of invaders is sensed, curses are cast without hesitation.",,
ally310_name,의녀,Healer,,
ally310_script,"""침으로 치료도 하고 공격도 할 수 있습니다. 놓는 자리만 다를 뿐이죠.""","""Needles heal or harm. Only the point differs.""",,
ally310_desc,침술과 약초학에 정통한 이들. 독침으로 적을 막고 약으로 아군을 치료하기 위해 전선에 직접 나섰다.,Experts in acupuncture and herbal medicine. They came to the front lines to stop enemies with poisoned needles and restore allies with medicine.,,
ally401_name,낭선차사,Thorn Spearman,,
ally401_script,"""아무리 단단한 진형이라도 내 낭선창 앞에선 속수무책일 뿐입니다.""","""No formation can stand before my thorns!""",,
ally401_desc,낭선차사는 뾰족한 촉을 치렁하게 매단 낭선창을 휘저으며 적진으로 돌진한다. 견고한 방진이라 할지라도 빠르게 무너뜨리는 것이 특기이다.,Charges into enemy ranks while sweeping a nangseon spear covered in sharp branching points. Excels at rapidly breaking even the strongest defensive formations.,,
ally402_name,추혼사자,Soul Reaper,,
ally402_script,"""더 이상의 침략은 허용하지 않겠다. 네 놈들의 영혼을 거두어주마...""","""No more invasions. I will reap your souls...""",,
ally402_desc,거대한 낫을 든 추혼차사는 적에게 전장의 저승사자로 불리운다. 공포스러운 사자겸을 무자비하게 휘둘러 적들을 황천으로 인도한다.,"A warrior with a massive scythe, feared by enemies as a reaper of the battlefield. The terrifying blade is swung without mercy, sending foes toward the afterlife.",,
ally403_name,첩중파관,Linebreaker,,
ally403_script,“태산같은 방패라도 내 야차과를 버틸 수 있는 지 두고보자고!”,"""Let’s see if your shield can stop my mace!""",,
ally403_desc,거대한 철퇴를 장난감 다루듯 휘두르는 자들로 호방하고 대범한 성품을 지닌 대장부이다. 무시무시한 야차과를 내리칠 때마다 적의 몸은 으스러진다.,A fearless warrior who swings a gigantic mace as if it were a toy. Each blow from the fearsome weapon crushes bodies and tears apart enemy formations.,,
ally404_name,금강파관,Diamond Guard,,
ally404_script,"""나는 금강석이다! 나는 견고한 바위다!""","""I am diamond! I am unyielding stone!""",,
ally404_desc,금강석처럼 단단한 의지와 바위처럼 견고한 육체를 지닌 전장의 대들보. 반드시 지켜낸다는 각오는 그들을 더욱 강력하게 만든다.,A pillar of the battlefield with a will as hard as diamond and a body as firm as rock. The determination to protect others makes this warrior even stronger.,,
ally405_name,신궁,Divine Archer,,
ally405_script,"""제 표적은 마음 속에 있습니다.""","""My target already exists within my mind.""",,
