Key,Korean (South Korea)(ko-KR),English(en),CH,JP
TXT_waveNumber,침공 {num}차/{num}차,Wave {num}/{num},,
MSG_noGold,군자금이 부족합니다!,Insufficient funds!,,
MSG_noPlace,그곳에는 병사를 배치할 수 없습니다!,Cannot deploy units here!,,
MSG_noMove,그곳에는 병사를 이동시킬 수 없습니다!,Cannot move units here!,,
BTN_exit,나가기,Exit,,
TXT_exit,전투를 종료하시겠습니까? 지금까지의 전투는 공로로 인정되지 않습니다.,End the battle? No merits or rewards will be granted for this  battle.,,
CON_defenseType2,방어,Armor,,
CON_basicSkill2,기본 스킬,Basic Skill,,
CON_specialSkill2,특수 스킬,Special Skill,,
CON_conditions,상태 정보,Conditions,,
TTL_unitUpgrade,병사 승급,Unit Upgrade,,
CON_upgrade,승급,Upgrade,,
CON_modeChange,모드 전환,Mode Change,,
NTF_battleStart,전투 시작!,Battle Start!,,
NTF_battleReadyTime,{num}차 침공까지 {sec}초,{sec} seconds until Wave {num},,
NTF_battleWaveStart,{num}차 침공 시작!,Wave {num} start!,,
NTF_battleAttacked,성문이 파괴되고 있습니다!,The stronghold is under attack!,,
NTF_battleWaveWin,방어에 성공했습니다!,Defense successful!,,
CON_fundsArrived,군자금 보충!,Funds Arrived!,,
TXT_resultWin01,당신의 노력이 성과를 이루어 무사히 마을을 지켜낼 수 있었습니다!,"Thanks to your efforts, the village has been safely defended!",,
TXT_resultLose01,안타깝게도 마을이 함락되었습니다.,"Despite your valor, the village could not be saved.",,
CON_clearTime,클리어 시간,Clear Time,,
BTN_restart,재시작,Restart,,
