Key,Korean (South Korea)(ko-KR),English(en),CH,JP
UNQ_joseonMilitia,조선 의병,Joseon Militia,,
UNQ_theDivineChosen,신성의 증거단,The Divine Chosen,,
UNQ_moorMercenaries,무어 용병단,Moor Mercenaries,,
UNQ_theSunEmpire,태양의 제국,The Sun Empire,,
UNQ_lieutenant,부관,Lieutenant,,
CON_rank,랭킹,Leaderboard,,
CON_achievements,업적,Achievements,,
CON_characterCodex,인물 도감,Character Codex,,
CON_list,목록,List,,
CON_tier,등급,Tier,,
UNQ_tier1,보통,Common,,
UNQ_tier2,고급,Advanced,,
UNQ_tier3,정예,Elite,,
UNQ_tier4,특급,Epic,,
UNQ_tier5,초월,Legendary,,
CON_role,역할,Role,,
CON_roleDPS,딜러,DPS,,
CON_roleTank,탱커,Tank,,
CON_roleScout,전령,Scout,,
CON_roleHealer,힐러,Healer,,
CON_roleBuffer,버퍼,Buffer,,
CON_roleDebuffer,디버퍼,Debuffer,,
CON_mission,임무,Mission,,
CON_missionFighter,파이터,Fighter,,
CON_missionRunner,러너,Runner,,
CON_recruitmentCost,모집 비용,Recruitment Cost,,
CON_reward,드랍 골드,Reward,,
CON_basicSkill1,기본,Basic Skill,,
CON_specialSkill1,특수,Special Skill,,
CON_defenseType1,방어 속성,Defense Type,,
CON_hp,체력,Hp,,
CON_story,Story,Story,,
CON_skills,지휘관 스킬,Skills,,
CON_skillSettings,지휘관 스킬 설정,Skill Settings,,
CON_skillList,지휘관 스킬 목록,Skill List,,
CON_selectedSkills,선택 스킬,Selected Skills,,
TXT_unlockSkillAchievement,{achievementName}' 업적 달성,"Unlocked by ""{achievementName}"" achievement",,
TXT_unlockSkillRank,지휘관 계급 '{rankName}' 달성,"Unlocked at ""{rankName}"" rank",,
BTN_save,저장,Save,,
MSG_noPoints,공로 포인트가 부족합니다!,Not enough Commander Points!,,
MSG_noAchievement,해당 업적을 달성해야 스킬을 해금할 수 있습니다.,You must complete the required achievement to unlock this skill.,,
MSG_noRank,해당 계급이 되어야 스킬을 해금할 수 있습니다.,You must reach this rank to unlock the skill.,,
MSG_noSlots,모든 슬롯이 채워져 있습니다!,All slots are full!,,
NTF_acquireSkill,{skillName} 스킬을 배웠습니다!,{skillName} Skill acquired!,,
TXT_skillSaveWarning,선택한 지휘관 스킬이 저장되지 않았습니다. 그래도 나가시겠습니까?,Unsaved commander skills. Exit anyway?,,
CON_accountInfo,계정 정보,Account Info,,
CON_nickName,닉네임,Name,,
CON_UID,UID,UID,,
CON_commanderRank,지휘관 등급,Rank,,
UNQ_commanderRank01,무명의 의인,Unknown Hero,,
UNQ_commanderRank02,충직한 두령,Loyal Captain,,
UNQ_commanderRank03,강철의 통솔자,Iron Commander,,
UNQ_commanderRank04,필승의 사령관,Victory-bound General,,
UNQ_commanderRank05,불세출의 명장,Peerless Warlord,,
UNQ_commanderRank06,불멸의 영웅,Immortal Hero,,
UNQ_commanderRank07,전설의 구세주,Legendary Savior,,
CON_rankProgress,승급 진행도,Rank-Up Progress,,
CON_profilePictureSettings,초상화 선택,Profile Picture Settings,,
BTN_apply,적용,Apply,,
TXT_nicknameChange,닉네임 변경,Change Name,,
TXT_nicknameLimit,"(특수 기호 제외 최소 1글자, 최대 12글자)",(2–12 characters),,
MSG_nicknameWarning,"닉네임은 특수 기호 제외, 최소 1글자 이상이어야 합니다.",,,
CON_language,사용 언어,Language,,
BTN_korean,한국어,한국어,,
BTN_english,English,English,,
BTN_bugReport,버그 신고,Bug Report,,
TXT_bugreport,플레이 중 발생한 오류나 이상 현상을 신고할 수 있습니다. 여러분의 제보는 게임 개선에 큰 도움이 됩니다.,All game progress will be reset.This action cannot be undone.,,
BTN_reset,게임 초기화,Game Reset,,
TXT_resetWarning1,게임 플레이 내용이 모두 초기화됩니다. 이 작업은 되돌릴 수 없습니다.,You can report bugs or unusual issues encountered during gameplay. Your reports help us improve the game.,,
TXT_resetWarning2,게임 진행 상황을 초기화하시겠습니까? 지금까지의 진행도와 전투 기록이 모두 초기화됩니다. 이 선택은 되돌릴 수 없습니다.,Are you sure you want to reset your game progress? All progress and battle records will be permanently deleted. This action cannot be undone.,,
BTN_exitGame,게임 종료,Exit,,
TXT_exitGameWarning,게임을 종료하시겠습니까?,Are you sure you want to quit?,,
TXT_rankUp,승급,Rank Up,,
CON_rankUpRewards,승급 보상,Rewards,,
CON_profileOutline,지휘관 초상화 테두리,Profile Outline,,
CON_profilePicture,지휘관 초상화,Profile Picture,,
CON_bestTime,최고 기록,Best Time,,
