Key,Korean (South Korea)(ko-KR),English(en),CH,JP
TXT_continue,Press any key to continue,Press any key to continue,,
UNQ_unknownOfficer,이름 모를 군관,Unknown Officer,,
TXT_proclamationTitle,창의 격문,Proclamation,,
TXT_proclamationContents_line1,무릇 의병이란 예로부터 있어왔다,,,
TXT_proclamationContents_line2,나라가 위기에 빠졌을 때 이에 맞서 통분의 심정으로 일으키는 의병은,,,
TXT_proclamationContents_line3,공존의 법이요 성국의 기본이다,,,
TXT_proclamationContents_line4,이 격문 보는 즉시 분발하여,,,
TXT_proclamationContents_line5,의병을 모아 진을 구성하고,,,
TXT_proclamationContents_line6,이 땅의 백성들을 구하라,,,
BTN_start,게임 시작,Start,,
BTN_credits,크레딧,Credits,,
TXT_copyright,©2026 VisionQuest.studio. All rights reserved. Licensed to and published by VisionQuest.studio,©2026 VisionQuest.studio. All rights reserved. Licensed to and published by VisionQuest.studio,,
