Key,Korean (South Korea)(ko-KR),English(en),CH,JP
USkillAttack001_name,가로 베기 1,Horizontal Slash 1,,
USkillAttack001_desc,한손 날을 가로로 그어 단일 대상을 벤다.,"Swings a one-handed blade horizontally, striking a single target.",,
USkillAttack001_effect,10의 베기 데미지를 입힌다.,Deals 10 Slash Damage,,
USkillAttack002_name,가로 베기 2,Horizontal Slash 2,,
USkillAttack002_desc,한손 날을 가로로 그어 단일 대상을 벤다.,"Swings a one-handed blade horizontally, striking a single target.",,
USkillAttack002_effect,20의 베기 데미지를 입힌다.,Deals 20 Slash Damage,,
USkillAttack003_name,가로 베기 3,Horizontal Slash 3,,
USkillAttack003_desc,한손 날을 가로로 그어 단일 대상을 벤다.,"Swings a one-handed blade horizontally, striking a single target.",,
USkillAttack003_effect,30의 베기 데미지를 입힌다.,Deals 30 Slash Damage,,
USkillAttack004_name,가로 베기 4,Horizontal Slash 4,,
USkillAttack004_desc,한손 날을 가로로 그어 단일 대상을 벤다.,"Swings a one-handed blade horizontally, striking a single target.",,
USkillAttack004_effect,50의 베기 데미지를 입힌다.,Deals 50 Slash Damage,,
USkillAttack005_name,강력한 찌르기 1,Powerful Thrust 1,,
USkillAttack005_desc,강력하게 단일 대상을 찌른다.,Thrusts powerfully at a single target.,,
USkillAttack005_effect,10의 찌르기 데미지를 입힌다.,Deals 10 Pierce Damage,,
USkillAttack006_name,강력한 찌르기 2,Powerful Thrust 2,,
USkillAttack006_desc,강력하게 단일 대상을 찌른다.,Thrusts powerfully at a single target.,,
USkillAttack006_effect,20의 찌르기 데미지를 입힌다.,Deals 20 Pierce Damage,,
USkillAttack007_name,강력한 찌르기 3,Powerful Thrust 3,,
USkillAttack007_desc,강력하게 단일 대상을 찌른다.,Thrusts powerfully at a single target.,,
USkillAttack007_effect,30의 찌르기 데미지를 입힌다.,Deals 30 Pierce Damage,,
USkillAttack008_name,강력한 찌르기 4,Powerful Thrust 4,,
USkillAttack008_desc,강력하게 단일 대상을 찌른다.,Thrusts powerfully at a single target.,,
USkillAttack008_effect,50의 찌르기 데미지를 입힌다.,Deals 50 Pierce Damage,,
USkillAttack009_name,강타 1,Heavy Strike 1,,
USkillAttack009_desc,양손 둔기를 휘둘러 단일 대상을 묵직하게 때린다.,Swings a two-handed blunt weapon to strike a single target heavily.,,
USkillAttack009_effect,10의 때리기 데미지를 입힌다.,Deals 10 Crush Damage,,
USkillAttack010_name,강타 2,Heavy Strike 2,,
USkillAttack010_desc,양손 둔기를 휘둘러 단일 대상을 묵직하게 때린다.,Swings a two-handed blunt weapon to strike a single target heavily.,,
USkillAttack010_effect,20의 때리기 데미지를 입힌다.,Deals 20 Crush Damage,,
USkillAttack011_name,강타 3,Heavy Strike 3,,
USkillAttack011_desc,양손 둔기를 휘둘러 단일 대상을 묵직하게 때린다.,Swings a two-handed blunt weapon to strike a single target heavily.,,
USkillAttack011_effect,30의 때리기 데미지를 입힌다.,Deals 30 Crush Damage,,
USkillAttack012_name,강타 4,Heavy Strike 4,,
USkillAttack012_desc,양손 둔기를 휘둘러 단일 대상을 묵직하게 때린다.,Swings a two-handed blunt weapon to strike a single target heavily.,,
USkillAttack012_effect,50의 때리기 데미지를 입힌다.,Deals 50 Crush Damage,,
USkillAttack013_name,관통 일격 1,Piercing Strike 1,,
USkillAttack013_desc,촉으로 다수 대상을 관통하여 꿰뚫는다.,Pierces through multiple targets with a spearhead.,,
USkillAttack013_effect,10의 찌르기 데미지를 입힌다.,Deals 10 Pierce Damage,,
USkillAttack014_name,관통 일격 2,Piercing Strike 2,,
USkillAttack014_desc,촉으로 다수 대상을 관통하여 꿰뚫는다.,Pierces through multiple targets with a spearhead.,,
USkillAttack014_effect,20의 찌르기 데미지를 입힌다.,Deals 20 Pierce Damage,,
USkillAttack015_name,관통 일격 3,Piercing Strike 3,,
