기본정보,,,,,,,
unitCode,charName,charLevel,cost,gSkillName,gSkillInfo,sSkillName,sSkillInfo
1,민병,1,100,낫 베기,낫으로 앞에 있는 한 명의 적을 베어 5 데미지의 베기 공격을 가한다. 치명타 발동 시 출혈 효과,낫 찍기,낫으로 앞에 있는 한 명의 적을 세게 찍어 5 데미지의 관통 공격을 가한다. 치명타율 5% 증가. 치명타 발동 시 충격 효과
11,창병,2,150,창 찌르기,창으로 앞에 있는 한 명의 적을 찔러 7 데미지의 관통 공격을 가한다. 치명타 발동 시 출혈 효과,멀리 베기,창에 달린 낫으로 멀리 있는 적을 베어 7 데미지의 베기 공격을 가한다. 치명타율 10% 증가. 치명타 발동 시 출혈 효과
12,척후병,2,150,망치 내려치기,망치로 앞에 있는 한 명의 적을 세게 내려쳐 7 데미지의 분쇄 공격을 가한다. 치명타 발동 시 충격 효과,방패 치기,소형 방패로 앞에 있는 한 명의 적을 쳐서 7 데미지의 분쇄 공격을 가한다. 치명타율 10% 증가. 치명타 발동 시 기절 효과
111,척창장군,3,200,대낫 찍기,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
112,절겸장군,3,200,연속 찌르기,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
121,맹부장군,3,200,적 수확,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
122,위순장군,3,200,낫 베기,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
1111,충창공,4,300,도끼 치기,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
1121,충겸공,4,300,대형 방패 치기,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
1211,충부공,4,300,강렬한 한 방,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
1221,충순공,4,300,방패 내려치기,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
2,사냥꾼,1,100,활 쏘기,화살을 쏘아 한 명의 적에게 5 데미지의 관통 공격을 가한다. 치명타 발동 시 출혈 효과,연사,화살을 빠르게 두번 쏘아 한 명의 적에게 총 10 데미지의 관통 공격을 가한다. 치명타율 5% 증가. 치명타 발동 시 출혈 효과
21,한량,2,150,활 쏘기,ㅡㅡㅡ,곰덫 설치,ㅡㅡㅡ
22,포수,2,150,엽총 쏘기,ㅡㅡㅡ,수류탄 투척,ㅡㅡㅡ
211,명궁,3,200,독 화살,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
212,맹독렵인,3,200,강렬한 저격,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
221,산포수,3,200,강력한 독 화살,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
222,화포수,3,200,조총 쏘기,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
2111,신궁,4,300,조총 연발,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
2121,천렵사,4,300,돌멩이 쏘기,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
2211,착호갑사,4,300,빠른 연사,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
2221,화약마,4,300,수류탄 던지기,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
70,좀비노예,1,0,베기,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
71,개척자,1,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
72,뱀파이어 하수인,1,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
73,벌목꾼,1,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
74,백골병사,2,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
75,백골 궁수,2,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
