no,기본 정보,,,,스탯,,,,,,,,,,,,,,
,char_ID,charName,charLevel,cost,hp,attackSpeed,defenseType,globalTime,mental,moveSpeed,sightRange,attackRange,targetSelectType,charCritRate(%),gSkill,gSkillName,sSkill,sSkillName,unitCode
1,h_warrior101,민병,1,100,150,1,cloth,0.5,1,1,3,1,close,30,attk_gen101,낫 베기,attk_spe101,낫 찍기,1
2,h_warrior201,창병,2,150,225,1,metal,0.5,1,3,3,2,close,50,attk_gen201,찌르기,attk_spe201,당겨 베기,11
3,h_warrior202,척후병,2,150,225,1,metal,0.5,1,3,3,1,close,50,attk_gen201,찌르기,attk_spe301,던지기,12
4,h_warrior301,척창장군,3,200,338,1,metal,0.5,2,5,4,3,close,80,attk_gen301,대낫 찍기,attk_spe201,당겨 베기,111
5,h_warrior302,절겸장군,3,200,338,1,metal,0.5,2,5,3,2,close,80,attk_gen401,연속 찌르기,attk_spe401,창의 기운 발산,112
6,h_warrior303,맹부장군,3,200,338,1,metal,0.5,2,5,3,1,close,80,attk_gen402,적 수확,attk_spe402,낫 휩쓸기,121
7,h_warrior304,위순장군,3,200,338,1,metal,0.5,2,5,3,1,close,80,attk_gen101,낫 베기,attk_spe202,방패 치기,122
8,h_warrior401,충창공,4,300,500,1,metal,0.5,3,7,4,3,close,90,attk_gen302,도끼 치기,attk_spe202,방패 치기,1111
9,h_warrior402,충겸공,4,300,500,1,metal,0.5,3,7,4,3,close,90,attk_gen303,대형 방패 치기,attk_spe302,방패 충격파,1121
10,h_warrior403,충부공,4,300,500,1,metal,0.5,3,7,3,1,close,90,attk_gen403,강렬한 한 방,attk_spe403,돌려치기,1211
11,h_warrior404,충순공,4,300,500,1,metal,0.5,3,7,3,1,close,90,attk_gen404,방패 내려치기,attk_spe404,몸통 박치기,1221
12,h_archer101,사냥꾼,1,100,100,1,cloth,0.5,1,1,15,12,close,30,attk_gen102,활 쏘기,attk_spe102,덫 설치,2
13,h_archer201,한량,2,150,150,1,leather,0.5,1,3,15,12,close,50,attk_gen102,활 쏘기,attk_spe203,올무 던지기,21
14,h_archer202,포수,2,150,150,1,cloth,0.5,1,3,12,10,close,50,attk_gen304,저격,attk_spe303,정확한 저격,22
15,h_archer301,명궁,3,200,225,1,leather,0.5,2,5,15,12,fixClose,80,attk_gen305,독 화살,attk_spe203,올무 던지기,211
16,h_archer302,맹독렵인,3,200,225,1,leather,0.5,2,5,15,12,close,80,attk_gen405,강렬한 저격,attk_spe405,암살,212
17,h_archer303,산포수,3,200,225,1,leather,0.5,2,5,12,10,close,80,attk_gen406,강력한 독 화살,attk_spe406,올무 퍼트리기,221
18,h_archer304,화포수,3,200,225,1,leather,0.5,2,5,12,10,close,80,attk_gen202,조총 쏘기,attk_spe204,폭발 덫 설치,222
19,h_archer401,신궁,4,300,338,1,leather,0.5,3,7,20,18,fixClose,90,attk_gen306,조총 연발,attk_spe304,가시 덫 설치,2111
20,h_archer402,천렵사,4,300,338,1,leather,0.5,3,7,20,18,close,90,attk_gen307,돌멩이 쏘기,attk_spe305,진천뢰 투척,2121
21,h_archer403,착호갑사,4,300,338,1,leather,0.5,3,7,15,12,close,90,attk_gen407,빠른 연사,attk_spe407,대형 덫 설치,2211
22,h_archer404,화약마,4,300,338,1,leather,0.5,3,7,15,12,close,90,attk_gen408,수류탄 던지기,attk_spe408,엄청난 폭발,2221
