ID,Dialogue
DIA_intro01,범상치 않은 분께 아뢰오.
,지금 나라 곳곳에서 어르신들이 외세의 침략에 맞서 격문을 내걸며 의병을 모으고 있소.
,허나 이들을 이끌 지휘관은 턱없이 부족하오.
,나는 다만 야전만 경험했던 터라 성심껏 모실 지휘관을 찾고 있소.
,만약 의로운 일에 뜻이 있다면 의병장이 되어 주겠소?
DIA_intro02,이대로 물러난다면 후에 부끄럽지 않겠소?
DIA_main01,다시 한번 의로운 일에 앞장서 주셔서 감사합니다. 약속드린 대로 저도 성심껏 보좌하겠습니다.
,어렵게 출전을 결심하셨을 텐데... 준비 없이 전장에 뛰어들 순 없겠지요.
,그래서 마련했습니다. 전장에서 지휘하는 요령을 익히실 수 있는 모의전투 훈련장입니다.
,훈련장에 입장하기 전 전투 지침서를 확인해 두시면 도움이 될 겁니다.
,
DIA_main02,조금 전 급한 전갈이 도착했습니다. 전라남도의 의병장 조학자께서 보내온 지원 요청입니다.
,정체 모를 외인이 금산으로 침략해 오고 있다 합니다. 전투력을 가늠하기조차 어렵다 합니다.
,신속한 지원을 청하고 있으니 채비가 끝나는 대로 곧장 출발하시지요.
,
DIA_main03,적을 알고 나를 알아야 승리할 수 있는 법이지요.
,그래서 매 전투 뒤 제가 따로 분석을 해두었습니다.
,여기 인물 도감입니다. 의병과 적군의 정보를 모아 계속 기록해두겠습니다.
,알림이 뜨면 곧장 확인하시지요. 들여다보면 더 나은 전략이 분명 떠오를 것입니다.
,
DIA_main04,방금 들어온 전갈입니다. 이조판서 최명길께서 직접 지원을 청하셨습니다.
,전하께서 피신해 있는 남한산성으로 적들이 향하고 있다니... 사태가 심각합니다.
,부족한 보급품은 제가 책임지고 마련해보겠습니다.
,.
