waveNum,unitId,pos,interval
1,empire_1Worker,A,1.5
1,empire_1Worker,A,1.5
1,empire_1Worker,A,1.5
1,empire_1Worker,A,1.5
1,empire_1Worker,A,1.5
1,empire_1Worker,A,1.5
1,empire_1Worker,A,1.5
1,empire_1Worker,A,1.5
1,empire_1Worker,A,1.5
1,empire_1Worker,A,1.5
2,empire_1Worker,B,1.5
2,empire_1Worker,B,1.5
2,empire_1Worker,B,1.5
2,empire_1Worker,B,1.5
2,empire_1Worker,B,1.5
2,empire_1Worker,B,1.5
2,empire_1Worker,B,1.5
2,empire_1Worker,B,1.5
2,empire_1Worker,B,1.5
2,empire_1Worker,B,1.5
2,empire_1Worker,B,1.5
2,empire_1Worker,B,1.5
3,empire_1Worker,A,1.5
3,empire_1Worker,A,1.5
3,empire_1Worker,A,1.5
3,empire_1Worker,A,1.5
3,empire_1Worker,A,1.5
3,empire_1Worker,A,1.5
3,empire_1Worker,A,1.5
3,empire_1Worker,A,1.5
3,empire_1Worker,A,1.5
3,empire_1Worker,A,1.5
3,empire_1Worker,A,1.5
3,empire_1Worker,A,1.5
3,empire_1Merchant,A,1.5
4,empire_1Worker,B,1.5
4,empire_1Worker,B,1.5
4,empire_1Worker,B,1.5
4,empire_1Worker,B,1.5
4,empire_1Worker,B,1.5
4,empire_1Worker,B,1.5
4,empire_1Worker,B,1.5
4,empire_1Worker,B,1.5
4,empire_1Worker,B,1.5
4,empire_1Worker,B,1.5
4,empire_1Worker,B,1.5
4,empire_1Worker,B,1.5
4,empire_1Merchant,B,1.5
4,empire_1Merchant,B,1.5
4,empire_1Merchant,B,1.5
5,empire_1Worker,A,1.5
5,empire_1Worker,B,0
5,empire_1Worker,A,1.5
5,empire_1Worker,B,0
5,empire_1Worker,A,1.5
5,empire_1Worker,B,0
5,empire_1Worker,A,1.5
5,empire_1Worker,B,0
5,empire_1Worker,A,1.5
5,empire_1Worker,B,0
5,empire_1Worker,A,1.5
5,empire_1Worker,B,0
5,empire_1Merchant,A,1.5
5,empire_1Merchant,B,0
5,empire_1Merchant,A,1.5
5,empire_1Merchant,B,0
5,empire_1Merchant,A,1.5
5,moor_2Assassin,B,0
6,empire_1Worker,A,1.5
6,empire_1Worker,A,1.5
6,empire_1Worker,A,1.5
6,empire_1Worker,A,1.5
